Q356389	Barbadian politician (1949-2020)
Q252847	Uruguayan military leader during the War for Independence
Q57283	Austrian-Armenian mathematician (1898–1962)
Q3934800	Earl of Arundel
Q2724299	Vedic sage
Q447847	American film director and film editor (1897–1979)
Q250834	Guatemalan President (1996-2000)
Q381150	Iraqi politician (1888–1958)
Q467803	Ashanti Queen Mother and military leader
Q29896	18th-century Nizam of Hyderabad
Q311669	founder of the Japanese new religious group Aum Shinrikyo
Q11557098	Japanese information engineer (1958-)
Q379905	4th century Indian Mahayana Buddhist scholar
Q334601	Mongolian sumo wrestler
Q145140	Methodist bishop in America (1745-1816)
Q2086	Italian racing driver (1918–1955)
Q316142	Polish-American psychologist (1907-1996)
Q913749	Ethiopian Empress Consort (1891-1962)
Q610716	entrepreneure (1918–2001)
Q29418	poet from the United States of America (1927–2017)
Q230832	British actress (1907-1991)
Q53325	American tennis player (1943–1993)
Q742620	Babylonian rabbi
Q157785	Icelandic pianist and conductor from Russia (born 1937)
Q708472	American physicist (1922-2020)
Q463419	Armenian king
Q711073	British dancer and choreographer (1904–1988)
Q193290	Assyrian king
Q154421	American actor (1929–2021)
Q132596	Prime Minister of Japan from 2008 to 2009
Q189450	Bulgarian ruler
Q258949	Kushite King
Q78512	Austrian pediatrician, medical theorist, and medical professor (1906-1980)
Q166714	British politician; Prime Minister of the United Kingdom from 1908 to 1916 (1852–1928)
Q44329	President of Syrian Arab Republic from 2000 to 2024
Q118725	President of Syria from 1971 to 2000
Q360	Australian editor, publisher, and activist (born 1971)
Q216872	Dutch lawyer and legal scholar (1838-1913)
Q515602	President of Comoros
Q2359434	English feminist writer (1666-1731)
Q458464	American actor and director (born 1930)
Q2003149	English equestrian, circus owner, and inventor, regarded as being the "father of the modern circus"
Q219237	British singer
Q274730	Australian novelist (1925-2004)
Q102291	British chemist (1877-1945)
Q383347	Football referee (1915–2001)
Q661575	extremely wealthy American family
Q437088	American philanthropist, socialite, and writer (1902–2007)
Q232109	American actress and author (1906–1987)
Q195013	first female Member of Parliament to take her seat (1879-1964)
Q75603	Guatemalan writer and diplomat (1899–1974)
Q12242407	Syrian scientist, mathematician, and astronomer, astrolabe maker
Q312552	2nd century Buddhist Indian poet and philosopher
Q481493	Arab poet of the Abbasid period (c.748-c.828)
Q314308	American computer pioneer (1903-1995)
Q754977	Scythian king
Q322030	French photographer (1857-1927)
Q463934	Queen of Judah
Q320150	Bengali Buddhist scholar
Q208356	British mathematician
Q264269	English botanist and photographer (1799-1871)
Q638020	American cardiologist (1930-2003)
Q343916	American critic (1894–1984)
Q23760	English actor, comedian, and screenwriter (born 1955)
Q368744	American bodybuilder (1892–1972)
Q110067	Egyptian hijacker and one of the ringleaders of the September 11 attacks (1968–2001)
Q356050	Ancient Macedonian courtier and general
Q51506	British actor (1923–2014)
Q356317	English writer and antiquarian (1626-1697)
Q178698	British-American poet (1907–1973)
Q336581	American basketball coach (1917–2006)
Q256991	French writer (1820-1889)
Q62414	German journalist (1923-2002)
Q32520	6th-century missionary, archbishop, and saint
Q130601	last emperor of the Western Roman Empire (475–476)
Q53438	King of Poland, Elector of Saxony (1696-1763)
Q1450796	first professional French historian of the French Revolution and of Napoleon (1849–1928)
Q157235	Israeli-American mathematician
Q938423	Filipino actress (1953–2025)
Q46780	Roman Emperor (C.E.214-275)
Q373491	Italian-born American women's basketball coach
Q158772	16th President of the French Republic (1884–1966)
Q575043	British writer and poet (1835–1913)
Q272615	English philosopher (1911–1960)
Q44313	American professional wrestler and actor
Q505706	American psychologist (1918–2008)
Q342723	American actor and singer (1907–1998)
Q305497	American photographer (1923–2004)
Q11362	Arab Andalusian polymath (c. 1085 – 1138)
Q782889	American musical group; bachata band
Q319723	American animator and director (1908-1980)
Q505476	Swedish electronic music producer (1989–2018)
Q715043	Brazilian and French mathematician
Q260125	American film director
Q325679	Israeli politician, journalist and author (1923-2018)
Q7917045	Ukrainian dancer (1895–1981)
Q733698	British vicar and author (1911–1997)
Q921435	Ghanaian poet and author (1935-2013)
Q146029	Egyptian pharaoh of the late 18th Dynasty (14th century BCE)
Q712848	English playwright (born 1939)
Q243757	English philosopher
Q738029	professor and activist
Q13638782	Ghanaian actress
Q105221	Canadian-American actor (born 1952)
Q457125	American jazz saxophonist (1936–1970)
Q335	Chilean politician and former president (1918–2016)
Q271360	Argentinian field hockey player
Q983046	Emir of Afghanistan (1879-1880)
Q2948506	Indian Social reformer
Q738368	Indian activist and socialist and revolutionary, freedom fighter and social reformer (1906–1931)
Q946921	Bangladeshi singer (1950-2011)
Q203708	prime minister of Spain, president of Spain (1880-1940)
Q1370004	African-Castillian explorer
Q2840554	Brazilian writer and diplomat (1857–1913)
Q465863	Indian actress
Q55637	Prime Minister of Spain from 1996 to 2004
Q1058991	Jerusalem rabbi and kabalist.
Q452299	Malian writer, historian and ethnologist
Q13005	Chinese novelist and anarchist activist (1904-2005)
Q57299	German astronomer (1893–1960)
Q76870	German far-left militant leader (1943–1977)
Q232041	Khoikhoi woman
Q104273	founder of Bábism and, according to the Baháʼís, predecessor of Baháʼu'lláh
Q483931	Indian spiritual guru (1926–2011)
Q1387241	Japanese professional wrestler (1938-1999)
Q333415	Head of State of Nigeria
Q318518	American composer (1916–2011)
Q49080	Russian language journalist, playwright, literary translator, and short story writer (1894–1940)
Q189714	French political agitator and journalist (1760-1797)
Q834951	Soviet film director (1904-1975)
Q11190781	Japanese kawaii metal band
Q104000	American actress (1924–2014)
Q310681	Greek lyric poet (c. 518 – c. 451 BC)
Q76428	German composer (1714–1788)
Q57267	German politician and SS functionary (1899–1972)
Q72245	German fencer, lawyer and sports official; 9th president of the International Olympic Committee since 2013
Q212762	American pianist, composer, producer (1928–2023)
Q464932	Indian politician and actress
Q270800	French writer and philosopher (1884-1962)
Q320	president of Chile from (2006–2010; 2014–2018)
Q60256	German pianist (1884–1969)
Q17140	American musical group; boy band
Q5431143	American burlesque dancer (1910–1956)
Q154340	Irish-born British figurative painter (1909–1992)
Q3454165	American actor (born 1958)
Q171677	English polymath, philosopher and friar (c.1219/20–c.1292)
Q6828346	American pathologist
Q374608	Arab poet
Q311005	French writer and philosopher
Q223875	American neo-soul singer
Q334504	South Korean actor and businessman
Q57190	Baltic German scientist (1792-1876)
Q70997	German-born American inventor and engineer (1922–2014)
Q57078	German chemist (1835-1917)
Q131725	American contemporary folk musician (born 1941)
Q67964	Italian association football player (born 1967)
Q1265323	American actor, screenwriter and director (1879-1948)
Q593198	Rwandan convicted of Genocide (1941–2021)
Q239260	General of the Imperial Russian Army (1765–1812)
Q32075	Muslim Saint and founder of Naqshbandi order (1318–1389)
Q1393466	Iranian Poet, writer, historian, scholar and politician
Q299271	The 15th Sassanid Emperor (421–438)
Q311283	Sasanian general and political leader (died 591)
Q706491	Chinese military officer and politician (1893-1966)
Q1320703	Chinese actor and singer (1921-1999)
Q701746	Chinese Qin state military general ( c. 332 BC – 257 BC)
Q3345966	Indian sculptor and painter, 1906-1980
Q260575	British-American esoteric, theosophist and writer (1880-1949)
Q3160909	American circus proprietor (1847–1906)
Q462118	American actress and singer (1918–1990)
Q314193	Belgian sports executive (1876-1942)
Q263143	American actress
Q2514706	General of the Maratha Empire in India (1700-1740)
Q2274	American jazz trumpeter and vocalist (1929-1988)
Q236250	American actress (born 1950)
Q495321	American special makeup effects artist
Q376087	British explorer, officer, naturalist, big game hunter, engineer, writer and abolitionist (1821–1893)
Q8074436	Recipient of Vir Chakra
Q185375	Russian intellectual and philosopher (1895–1975)
Q484816	Kyrgyzstani politician
Q1276995	American academic (1924–2018)
Q4355654	American televangelist (born 1940)
Q238046	Iraqi president (1914–1982)
Q315441	American animator and filmmaker
Q6761037	Italian chemist and biologist
Q3305694	Russian-born billiards cue maker
Q3520369	Indian director, producer, writer, actor, playwright, stage conductor, and comedian (1930–2014)
Q147989	President of the Dominican Republic (1906-2002)
Q185040	Russian composer, pianist, and conductor (1837-1910)
Q441786	Roman noble woman and poet
Q215139	American economist and writer
Q879020	president of Uruguay (1884-1948)
Q51717	King of Jerusalem from 1100 to 1118
Q170572	American actor (born 1958)
Q273210	American writer (1924–1987)
Q166635	British statesman (1867–1947)
Q45772	American-English actor (born 1974)
Q184586	Welsh association football player
Q381088	Spanish fashion designer (1895-1972)
Q335684	Nigerian politician (1912-1966)
Q19008	British Prime Minister, Conservative politician, and statesman (1848-1930)
Q3242219	Drug smugglers convicted in Indonesia in 2005
Q310526	Croatian handball player
Q140201	British novelist (1930–2009)
Q312867	United States Navy officer, oceanographer and underwater archaeologist
Q272190	Spanish professional golfer (1957–2011)
Q181162	American businessman, former chief executive officer of Microsoft
Q13236	Swiss linguist (1865-1947)
Q1322	Chilean politician and President (1840-1891)
Q551674	French fashion designer (1914–1982)
Q314498	Russian poet (1867–1942)
Q2321115	President of Peru (1814–1872)
Q966845	Colombian singer
Q316872	American DJ, record producer, and rapper (1957–2026)
Q366132	Chinese military general, explorer and diplomat (32–102 CE)
Q439681	Chinese historian, politician and poet (AD 32–92)
Q1253	8th Secretary-General of the United Nations
Q526725	Japanese architect (1957-)
Q171202	7th-century Sanskrit writer
Q313711	1st President of Zimbabwe (1936-2003)
Q183532	American actress (1931–2005)
Q741482	American historian, statesman, founder of United States Naval Academy (1800-1891)
Q57388	4th President of Malawi
Q194291	Prime Minister of Ceylon (later Sri Lanka) from 1960–65, 1970–77, 1994–2000
Q157280	Ukrainian nationalist leader (1909–1959)
Q41548	Spanish actor
Q452751	American author and trainer in the field of self-help
Q2900953	Indian Bengali author (1894–1950)
Q320578	Indian American economist
Q1371007	Indian sitar player (1931–1986)
Q2440957	Iranian film director and screenwriter
Q273866	Iranian politician and economist, and Iran's first President (1933–2021)
Q255815	actress
Q250161	Ojibwe co-founder of the American Indian Movement (1937-2017)
Q213879	English association football player (1937–2019)
Q312579	Scottish writer (1954–2013)
Q172303	American television personality, producer, and former model
Q133600	English graffiti artist, political activist, and painter
Q271526	Hungarian-American film actress (1901–1991)
Q557600	free African American scientist, surveyor, almanac author and farmer (1731–1806)
Q319351	English physician and athlete (1929–2018)
Q16146870	American media executive & political strategist (born 1953)
Q180350	Canadian medical scientist and doctor (1891-1941)
Q1380335	English undertaker and populariser of a weight loss diet
Q560642	Jamaican musician
Q423210	Persian brothers, mathematicians and astronomers
Q313077	Irish writer (born 1945)
Q312630	French writer (1823-1891)
Q269039	President of Bolivia from 1971 to 1978 and 1997 to 2001
Q223771	Emperor of Vietnam from 1926 to 1945
Q2032035	Chinese poet and official
Q880764	Chilean soldier and politician (1823–1897)
Q273117	Jewish leader
Q234615	American actress (1885–1955)
Q317219	co-founder and political leader of the Afghan Taliban
Q125731	10th Prime Minister of Israel
Q354783	African-American writer (1934–2014)
Q364252	Russian poet (1800-1844)
Q970487	Persian musician
Q268305	English author (1743–1825)
Q216870	American composer (1910-1981)
Q190373	American animator and cartoonist (1911–2006)
Q77088	German SS officer, head of the Gestapo in Lyon and convicted war criminal (1913–1991)
Q185101	Carthaginian general
Q540192	President of Colombia (1986-1990)
Q134895	Spanish actor
Q437168	French explorer, naturalist and botanist (1740-1807)
Q152768	Israeli Argentine-born pianist and conductor (born 1942)
Q2188554	Dutch television presenter
Q189984	Italian association football player
Q584155	American outlaw biker (1938–2022)
